wikidata_id,name,kind,start,country,genres,photo_file,photo_author,photo_license,photo_license_url
Q850290,Kool & The Gang,group,1964,United States,Q164444,Kool & the Gang - Leverkusener Jazztage 2017-1963 (cropped).jpg,"Foto: Andreas Lawen, Fotandi",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
Q850616,Between the Buried and Me,group,2000,United States,Q484344|Q30587784,Between the Buried and Me.jpg,Stéphane Gallay,CC BY 4.0,https://creativecommons.org/licenses/by/4.0
Q850645,New Found Glory,group,1997,United States,Q487914,New Found Glory.jpg,Evil Disco Guy,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
Q851798,Hybrid,group,1996,United Kingdom,Q663519|Q25389262,Hybrid Press Shots 2018 -1.jpg,HybridLottie,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
Q85199678,Marwan Pablo,person,1995,Egypt,Q115063525,,,,
Q852335,Fleet Foxes,group,2001,United States,Q1317816,Fleetfoxes08.jpg,Danishdrummer,Public domain,
Q852435,Steely Dan,group,1972,United States,Q944465|Q28401124|Q2104067,Steely Dan - Donald Fagen - Luzern 2007.jpg,Stephan Neuner,Public domain,
Q853266,Beyond,group,1983,British Hong Kong,Q853873,,,,
Q853545,Malice Mizer,group,1992,Japan,Q131425,MALICE MIZER session DSV.png,David kls,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
Q854590,Yellow Magic Orchestra,group,1978,Japan,Q1298934|Q98528149,Yellow Magic Orchestra in 2008.jpg,YMO2008.jpg: The_Junes of Flickr.com derivative work: Solid State Survivor (talk),CC BY 2.0,https://creativecommons.org/licenses/by/2.0
Q855109,Bhundu Boys,group,1983,Zimbabwe,Q95366506,,,,
Q8559966,Dina Páucar,person,1969,Peru,Q2307786,Dina Paucar Reinicia el Culturaymi de los Para Panamericanos - 48587235102.jpg,Legado Lima 2019,Public domain,
Q85740447,Alaap,group,1977,,Q854844,,,,
Q858388,The Cars,group,1976,United States,Q187760,The Cars 1984 (Elektra Press Kit Photo).jpg,E.J. Camp; Distributed by Elektra Records,Public domain,
Q85846077,Harlem Spartans,group,2014,,Q65943851,,,,
Q858464,Big Bad Voodoo Daddy,group,1989,United States,Q447962,BigBadVoodooDaddy.jpg,"eric wittman from Wichita, Kansas, United States",CC BY 2.0,https://creativecommons.org/licenses/by/2.0
Q858688,Big Brother and the Holding Company,group,1965,United States,Q236932,Janis Joplin Big Brother and the Holding Company.jpg,"Albert B. Grossman. His management information is shown on the identical, autographed copy of the image.",Public domain,
Q858738,Big Country,group,1981,United Kingdom,Q2662148,,,,
Q85875015,Kevin O Chris,person,1996,Brazil,Q117745223,Kevin o Chris - TVZ 2023 (1).png,Humor Multishow,CC BY 3.0,https://creativecommons.org/licenses/by/3.0
Q858880,Cascada,group,2004,Germany,Q733804,2016-02-01 Cascada.jpg,9EkieraM1,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
Q858908,Big Hawk,person,1992,United States,Q2261628,,,,
Q859053,Big Moe,person,1995,United States,Q2261628,,,,
Q859116,Big Mountain,group,1988,United States,Q98528253,2018 - Pol’and’Rock Festival - Big Mountain 33.jpg,Ralf Lotys (Sicherlich),CC BY 4.0,https://creativecommons.org/licenses/by/4.0
Q860153,Bikini Kill,group,1990,United States,Q677542,Bikini Kill in 1991.jpg,jonathancharles,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0
Q860556,Flanders and Swann,group,1956,United Kingdom,Q5151495,Michael Flanders and Donald Swann (1966 publicity photo).jpg,"Photograph by Bill Doll and Company, a New York-based publicity agency",Public domain,
Q861190,The 13th Floor Elevators,group,1965,United States,Q135112757|Q206159,The 13th Floor Elevators (1960s Photo).jpg,Published in Not Fade Away by Doug Hanners,Public domain,
Q862097,Bill Fay,person,1967,United Kingdom,Q136335965,Bill Fay By Erica Parrott 2012.jpg,Ericaparrott,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
Q862223,Hüsker Dü,group,1979,United States,Q542703|Q377910,Hüsker Dü (1986 Warner Bros publicity photo).jpg,Photograph by Daniel Corrigan. Distributed by Warner Bros. Records.,Public domain,
Q863212,Billy Paul,person,1952,United States,Q1546028,Billy Paul.jpg,PhillyCAM,CC BY 2.0,https://creativecommons.org/licenses/by/2.0
Q863227,Billy Stewart,person,1955,United States,Q1269729,,,,
Q863573,The Lonely Island,group,2001,United States,Q1391336|Q5151495|Q602646,The Lonely Island.jpg,Awesometown (Akiva Schaffer) David Shankbone (Andy Samberg) Christopher Peterson (Jorma Taccone),CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
Q864524,Lydia Mendoza,person,1927,United States,Q431415,Lydia Mendoza.jpeg,Unknown author,Public domain,
Q864991,Metro Station,group,2006,United States,Q25099691,Metro Station.jpg,"Dan Cox from Fraser, United States",CC BY 2.0,https://creativecommons.org/licenses/by/2.0
Q867706,City of Caterpillar,group,2000,United States,Q11363,Cityofcaterpillarband.jpg,AResultOfSignalsBeingCrossed,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
Q868265,Flight of the Conchords,group,1998,New Zealand,Q1391336|Q5151495,Flight Of The Conchords - Soho Theatre - Sunday 25th February 2018 ConchordsSoho250218-7 (38761512730) (cropped).jpg,Raph_PH,CC BY 2.0,https://creativecommons.org/licenses/by/2.0
Q869427,Country Joe and the Fish,group,1965,United States,Q236932,Country Joe and the Fish.png,Vanguard Records,Public domain,
Q874358,Allerseelen,group,1987,Austria,Q775614,Allerseelen and Sal Solaris.jpg,Finstergeist,Public domain,
Q877512,Hot Chip,group,2000,United Kingdom,Q325397,Hot Chip by Mike Mantin.jpg,Mike Mantin,CC BY 2.0,https://creativecommons.org/licenses/by/2.0
Q877525,Radu Malfatti,person,1975,Austria,Q7306376,20081128 Radu Malfatti.jpg,Miguel Prado,Public domain,
Q87800198,Mall Grab,person,1994,,Q108555812,,,,
Q879793,Michael Hoenig,person,1971,Germany,Q530750,,,,
