genre,parent
http://www.wikidata.org/entity/Q211756,http://www.wikidata.org/entity/Q37073
http://www.wikidata.org/entity/Q211756,http://www.wikidata.org/entity/Q11787389
http://www.wikidata.org/entity/Q211781,http://www.wikidata.org/entity/Q790188
http://www.wikidata.org/entity/Q212024,http://www.wikidata.org/entity/Q388207
http://www.wikidata.org/entity/Q212024,http://www.wikidata.org/entity/Q1541229
http://www.wikidata.org/entity/Q212024,http://www.wikidata.org/entity/Q6452410
http://www.wikidata.org/entity/Q212112,http://www.wikidata.org/entity/Q685884
http://www.wikidata.org/entity/Q212148,http://www.wikidata.org/entity/Q9730
http://www.wikidata.org/entity/Q212148,http://www.wikidata.org/entity/Q207628
http://www.wikidata.org/entity/Q212688,http://www.wikidata.org/entity/Q373342
http://www.wikidata.org/entity/Q212944,http://www.wikidata.org/entity/Q1716019
http://www.wikidata.org/entity/Q212952,http://www.wikidata.org/entity/Q9759
http://www.wikidata.org/entity/Q212952,http://www.wikidata.org/entity/Q107718737
http://www.wikidata.org/entity/Q213121,http://www.wikidata.org/entity/Q373342
http://www.wikidata.org/entity/Q213149,http://www.wikidata.org/entity/Q132438
http://www.wikidata.org/entity/Q213149,http://www.wikidata.org/entity/Q484179
http://www.wikidata.org/entity/Q213572,http://www.wikidata.org/entity/Q20378
http://www.wikidata.org/entity/Q213572,http://www.wikidata.org/entity/Q208494
http://www.wikidata.org/entity/Q213572,http://www.wikidata.org/entity/Q2743758
http://www.wikidata.org/entity/Q213608,http://www.wikidata.org/entity/Q34379
http://www.wikidata.org/entity/Q213608,http://www.wikidata.org/entity/Q2529779
http://www.wikidata.org/entity/Q213665,http://www.wikidata.org/entity/Q6942280
http://www.wikidata.org/entity/Q213665,http://www.wikidata.org/entity/Q10730335
http://www.wikidata.org/entity/Q213714,http://www.wikidata.org/entity/Q83440
http://www.wikidata.org/entity/Q213714,http://www.wikidata.org/entity/Q65943778
http://www.wikidata.org/entity/Q214981,http://www.wikidata.org/entity/Q9730
http://www.wikidata.org/entity/Q214981,http://www.wikidata.org/entity/Q207628
http://www.wikidata.org/entity/Q215911,http://www.wikidata.org/entity/Q9730
http://www.wikidata.org/entity/Q215911,http://www.wikidata.org/entity/Q207628
http://www.wikidata.org/entity/Q216860,http://www.wikidata.org/entity/Q4797274
http://www.wikidata.org/entity/Q216926,http://www.wikidata.org/entity/Q731978
http://www.wikidata.org/entity/Q216926,http://www.wikidata.org/entity/Q1323698
http://www.wikidata.org/entity/Q216961,http://www.wikidata.org/entity/Q851213
http://www.wikidata.org/entity/Q216961,http://www.wikidata.org/entity/Q3328676
http://www.wikidata.org/entity/Q217191,http://www.wikidata.org/entity/Q484641
http://www.wikidata.org/entity/Q217295,http://www.wikidata.org/entity/Q1076513
http://www.wikidata.org/entity/Q217295,http://www.wikidata.org/entity/Q8812109
http://www.wikidata.org/entity/Q217295,http://www.wikidata.org/entity/Q23687321
http://www.wikidata.org/entity/Q217295,http://www.wikidata.org/entity/Q122149755
http://www.wikidata.org/entity/Q217467,http://www.wikidata.org/entity/Q11399
http://www.wikidata.org/entity/Q217597,http://www.wikidata.org/entity/Q851213
http://www.wikidata.org/entity/Q220528,http://www.wikidata.org/entity/Q12876995
http://www.wikidata.org/entity/Q220528,http://www.wikidata.org/entity/Q60733114
http://www.wikidata.org/entity/Q220535,http://www.wikidata.org/entity/Q722989
http://www.wikidata.org/entity/Q220535,http://www.wikidata.org/entity/Q1162469
http://www.wikidata.org/entity/Q220830,http://www.wikidata.org/entity/Q11399
http://www.wikidata.org/entity/Q221686,http://www.wikidata.org/entity/Q4417620
http://www.wikidata.org/entity/Q221686,http://www.wikidata.org/entity/Q65937946
http://www.wikidata.org/entity/Q221772,http://www.wikidata.org/entity/Q11787389
http://www.wikidata.org/entity/Q221934,http://www.wikidata.org/entity/Q869210
http://www.wikidata.org/entity/Q221934,http://www.wikidata.org/entity/Q1780056
http://www.wikidata.org/entity/Q221934,http://www.wikidata.org/entity/Q2812726
http://www.wikidata.org/entity/Q222445,http://www.wikidata.org/entity/Q6950428
http://www.wikidata.org/entity/Q222445,http://www.wikidata.org/entity/Q51799726
http://www.wikidata.org/entity/Q223840,http://www.wikidata.org/entity/Q1033912
http://www.wikidata.org/entity/Q224694,http://www.wikidata.org/entity/Q121411631
http://www.wikidata.org/entity/Q226887,http://www.wikidata.org/entity/Q257533
http://www.wikidata.org/entity/Q226887,http://www.wikidata.org/entity/Q1037119
http://www.wikidata.org/entity/Q227036,http://www.wikidata.org/entity/Q6942329
http://www.wikidata.org/entity/Q82469,http://www.wikidata.org/entity/Q114805151
http://www.wikidata.org/entity/Q83270,http://www.wikidata.org/entity/Q11399
http://www.wikidata.org/entity/Q83390,http://www.wikidata.org/entity/Q45594
http://www.wikidata.org/entity/Q83390,http://www.wikidata.org/entity/Q2090950
http://www.wikidata.org/entity/Q83440,http://www.wikidata.org/entity/Q373342
http://www.wikidata.org/entity/Q83440,http://www.wikidata.org/entity/Q107718737
http://www.wikidata.org/entity/Q85477,http://www.wikidata.org/entity/Q207628
http://www.wikidata.org/entity/Q85477,http://www.wikidata.org/entity/Q7777494
http://www.wikidata.org/entity/Q105513,http://www.wikidata.org/entity/Q8341
http://www.wikidata.org/entity/Q105527,http://www.wikidata.org/entity/Q8341
http://www.wikidata.org/entity/Q118120,http://www.wikidata.org/entity/Q854451
http://www.wikidata.org/entity/Q118120,http://www.wikidata.org/entity/Q7482056
http://www.wikidata.org/entity/Q118120,http://www.wikidata.org/entity/Q110558158
http://www.wikidata.org/entity/Q118120,http://www.wikidata.org/entity/Q116173874
http://www.wikidata.org/entity/Q122772,http://www.wikidata.org/entity/Q2090712
http://www.wikidata.org/entity/Q122772,http://www.wikidata.org/entity/Q5413526
http://www.wikidata.org/entity/Q127624,http://www.wikidata.org/entity/Q235858
http://www.wikidata.org/entity/Q127624,http://www.wikidata.org/entity/Q685884
http://www.wikidata.org/entity/Q130572,http://www.wikidata.org/entity/Q525073
http://www.wikidata.org/entity/Q130572,http://www.wikidata.org/entity/Q108857328
http://www.wikidata.org/entity/Q131269,http://www.wikidata.org/entity/Q9730
http://www.wikidata.org/entity/Q131269,http://www.wikidata.org/entity/Q207628
http://www.wikidata.org/entity/Q131269,http://www.wikidata.org/entity/Q639197
http://www.wikidata.org/entity/Q131272,http://www.wikidata.org/entity/Q45981
http://www.wikidata.org/entity/Q131425,http://www.wikidata.org/entity/Q257533
http://www.wikidata.org/entity/Q131425,http://www.wikidata.org/entity/Q373342
http://www.wikidata.org/entity/Q131510,http://www.wikidata.org/entity/Q23072435
http://www.wikidata.org/entity/Q131578,http://www.wikidata.org/entity/Q10730335
http://www.wikidata.org/entity/Q132438,http://www.wikidata.org/entity/Q465978
http://www.wikidata.org/entity/Q135637,http://www.wikidata.org/entity/Q19678100
http://www.wikidata.org/entity/Q135637,http://www.wikidata.org/entity/Q106422444
http://www.wikidata.org/entity/Q138020,http://www.wikidata.org/entity/Q672134
http://www.wikidata.org/entity/Q138020,http://www.wikidata.org/entity/Q5413526
http://www.wikidata.org/entity/Q140222,http://www.wikidata.org/entity/Q624044
http://www.wikidata.org/entity/Q140544,http://www.wikidata.org/entity/Q9730
http://www.wikidata.org/entity/Q140544,http://www.wikidata.org/entity/Q207628
http://www.wikidata.org/entity/Q141459,http://www.wikidata.org/entity/Q6010
http://www.wikidata.org/entity/Q141459,http://www.wikidata.org/entity/Q11401
http://www.wikidata.org/entity/Q141459,http://www.wikidata.org/entity/Q969663
http://www.wikidata.org/entity/Q145594,http://www.wikidata.org/entity/Q6942329
http://www.wikidata.org/entity/Q145980,http://www.wikidata.org/entity/Q11399
http://www.wikidata.org/entity/Q145980,http://www.wikidata.org/entity/Q1666311
http://www.wikidata.org/entity/Q151942,http://www.wikidata.org/entity/Q473602
http://www.wikidata.org/entity/Q151942,http://www.wikidata.org/entity/Q3015675
http://www.wikidata.org/entity/Q155119,http://www.wikidata.org/entity/Q645992
http://www.wikidata.org/entity/Q155858,http://www.wikidata.org/entity/Q108857328
http://www.wikidata.org/entity/Q163491,http://www.wikidata.org/entity/Q163775
http://www.wikidata.org/entity/Q163775,http://www.wikidata.org/entity/Q436016
http://www.wikidata.org/entity/Q163775,http://www.wikidata.org/entity/Q3328676
http://www.wikidata.org/entity/Q164444,http://www.wikidata.org/entity/Q373342
http://www.wikidata.org/entity/Q166813,http://www.wikidata.org/entity/Q8341
http://www.wikidata.org/entity/Q170435,http://www.wikidata.org/entity/Q851213
http://www.wikidata.org/entity/Q170611,http://www.wikidata.org/entity/Q851213
http://www.wikidata.org/entity/Q173844,http://www.wikidata.org/entity/Q20502
http://www.wikidata.org/entity/Q174873,http://www.wikidata.org/entity/Q9730
http://www.wikidata.org/entity/Q174873,http://www.wikidata.org/entity/Q207628
http://www.wikidata.org/entity/Q177447,http://www.wikidata.org/entity/Q9759
http://www.wikidata.org/entity/Q177771,http://www.wikidata.org/entity/Q7366
http://www.wikidata.org/entity/Q177771,http://www.wikidata.org/entity/Q484692
http://www.wikidata.org/entity/Q177771,http://www.wikidata.org/entity/Q5185279
http://www.wikidata.org/entity/Q388475,http://www.wikidata.org/entity/Q1544863
http://www.wikidata.org/entity/Q388906,http://www.wikidata.org/entity/Q851213
http://www.wikidata.org/entity/Q389372,http://www.wikidata.org/entity/Q708228
http://www.wikidata.org/entity/Q389631,http://www.wikidata.org/entity/Q1033912
http://www.wikidata.org/entity/Q389671,http://www.wikidata.org/entity/Q727781
http://www.wikidata.org/entity/Q389671,http://www.wikidata.org/entity/Q1457972
http://www.wikidata.org/entity/Q389671,http://www.wikidata.org/entity/Q5645984
http://www.wikidata.org/entity/Q389671,http://www.wikidata.org/entity/Q98528197
http://www.wikidata.org/entity/Q389993,http://www.wikidata.org/entity/Q1049625
http://www.wikidata.org/entity/Q406714,http://www.wikidata.org/entity/Q207628
http://www.wikidata.org/entity/Q407916,http://www.wikidata.org/entity/Q113600088
http://www.wikidata.org/entity/Q420883,http://www.wikidata.org/entity/Q11401
http://www.wikidata.org/entity/Q420883,http://www.wikidata.org/entity/Q6457912
http://www.wikidata.org/entity/Q423918,http://www.wikidata.org/entity/Q1326777
http://www.wikidata.org/entity/Q427183,http://www.wikidata.org/entity/Q727781
http://www.wikidata.org/entity/Q427183,http://www.wikidata.org/entity/Q108151792
http://www.wikidata.org/entity/Q428656,http://www.wikidata.org/entity/Q11399
http://www.wikidata.org/entity/Q429264,http://www.wikidata.org/entity/Q3135787
http://www.wikidata.org/entity/Q430075,http://www.wikidata.org/entity/Q899215
http://www.wikidata.org/entity/Q430075,http://www.wikidata.org/entity/Q10264148
http://www.wikidata.org/entity/Q431415,http://www.wikidata.org/entity/Q6942291
http://www.wikidata.org/entity/Q431415,http://www.wikidata.org/entity/Q7309098
http://www.wikidata.org/entity/Q436016,http://www.wikidata.org/entity/Q9730
http://www.wikidata.org/entity/Q438476,http://www.wikidata.org/entity/Q83440
http://www.wikidata.org/entity/Q438476,http://www.wikidata.org/entity/Q1695023
http://www.wikidata.org/entity/Q438503,http://www.wikidata.org/entity/Q6010
http://www.wikidata.org/entity/Q438503,http://www.wikidata.org/entity/Q11401
http://www.wikidata.org/entity/Q438503,http://www.wikidata.org/entity/Q1695023
http://www.wikidata.org/entity/Q442133,http://www.wikidata.org/entity/Q179465
http://www.wikidata.org/entity/Q446241,http://www.wikidata.org/entity/Q43343
http://www.wikidata.org/entity/Q447962,http://www.wikidata.org/entity/Q203775
http://www.wikidata.org/entity/Q448738,http://www.wikidata.org/entity/Q179465
http://www.wikidata.org/entity/Q448738,http://www.wikidata.org/entity/Q1243912
http://www.wikidata.org/entity/Q454071,http://www.wikidata.org/entity/Q2743758
http://www.wikidata.org/entity/Q454071,http://www.wikidata.org/entity/Q5413526
http://www.wikidata.org/entity/Q455686,http://www.wikidata.org/entity/Q1435485
http://www.wikidata.org/entity/Q458480,http://www.wikidata.org/entity/Q65937954
http://www.wikidata.org/entity/Q460674,http://www.wikidata.org/entity/Q3071
http://www.wikidata.org/entity/Q460674,http://www.wikidata.org/entity/Q3990466
http://www.wikidata.org/entity/Q461064,http://www.wikidata.org/entity/Q26897135
