wikidata_id,musicbrainz_id,name,parent_wikidata_id,parent_name,level,children_direct,descendants_total,display_rule,epoch_year,origin,group,bpm_min,bpm_max,parent_choice,wikidata_parents_raw,wikipedia_links,featured,family_shape,family_hue
Q3278092,bd188fb3-f5e4-4777-aa59-80486a193555,guarania,Q18345375,Latin music,1,0,0,ring,,,THE SOUTHERN CONE,,,single,Hispanic American music,13,,,
Q2915789,08965af5-99e4-49f1-a531-9003c72746c9,gwo ka,Q18345375,Latin music,1,0,0,ring,,France,CUBA & THE CARIBBEAN > THE WIDER CARIBBEAN > FRENCH ANTILLES & GUIANA,,,attach,French Caribbean music | music of Guadeloupe,18,,,
Q5654316,2879da65-b662-4254-aa8f-984a52103766,harawi,Q18345375,Latin music,1,0,0,ring,,,THE ANDES & THE PACIFIC > THE ANDES,,,single,Andean music,2,,,
Q3141879,cdce176c-1b0e-4f67-b9c3-d418ecb52306,huaylarsh,Q18345375,Latin music,1,0,0,ring,,Peru,THE ANDES & THE PACIFIC > THE ANDES,,,single,Andean music | music of Peru,4,,,
Q120233553,d4e8be24-8e70-4d64-bbc7-3ae7efd96266,jazz guachaca,Q18345375,Latin music,1,0,0,ring,,,THE SOUTHERN CONE,,,single,music of Chile,0,,,
Q106634508,dacb2641-0882-469c-9557-8076f126e1e3,junkanoo,Q18345375,Latin music,1,0,0,ring,,,CUBA & THE CARIBBEAN > THE WIDER CARIBBEAN > TRINIDAD & THE ENGLISH-SPEAKING ISLANDS,,,attach,music of the Caribbean,1,,,
Q610022,57a6dcc1-c3cd-4ce1-9fb2-e1783992a683,kaseko,Q18345375,Latin music,1,0,0,ring,,Suriname,CUBA & THE CARIBBEAN > THE WIDER CARIBBEAN > SURINAME & GUYANA,,,attach,music of the Caribbean,9,,,
Q60722009,c1f813d2-d21f-4eda-85e3-e8bfac92b3e1,Kasékò,Q18345375,Latin music,1,0,0,ring,,France,CUBA & THE CARIBBEAN > THE WIDER CARIBBEAN > FRENCH ANTILLES & GUIANA,,,attach,music of French Guiana,2,,,
Q2726026,cbb6cb49-6671-46ba-8d35-c5f703d881a3,konpa,Q18345375,Latin music,1,0,0,ring,,Haiti,CUBA & THE CARIBBEAN > THE WIDER CARIBBEAN > HAITI,,,single,music of Haiti,15,,,
Q533946,6d6fd939-c2c2-4ad0-940e-bc0bf3bbf52c,lambada,Q18345375,Latin music,1,1,1,ring,,Brazil,BRAZIL > MODERN BRAZILIAN POP,,,single,music of Brazil,37,,,
Q10292943,3a544fa6-5095-437e-9950-208583927694,guitarrada,Q533946,lambada,2,0,0,ring,,Brazil,,,,single,lambada,2,,,
Q117193811,86bda8ae-33e4-484b-8d66-d0341de598d2,mambo chileno,Q18345375,Latin music,1,0,0,ring,,,THE SOUTHERN CONE,,,single,music of Chile,0,,,
Q430075,8053db3d-86e8-4128-8941-d4e5f9e2e350,maxixe,Q18345375,Latin music,1,0,0,ring,,Brazil,BRAZIL > SAMBA & BOSSA NOVA,,,single,music of Brazil,15,,,
Q113133172,6b044e50-88ab-4a7d-a54c-b6c45532b70c,merequetengue,Q18345375,Latin music,1,0,0,ring,,,MEXICO & CENTRAL AMERICA > MEXICO,,,single,music of Mexico,0,,,
Q1640587,01ae3be5-070d-42a0-8062-f0f1ff43a791,morenada,Q18345375,Latin music,1,0,0,ring,,,THE ANDES & THE PACIFIC > THE ANDES,,,single,Andean music,11,,,
Q1452181,9ad55cef-3a10-4b13-9af4-bb05e9352259,murga,Q18345375,Latin music,1,1,1,ring,,Spain,DANCE & CARNIVAL > CARNIVAL & STREET,,,single,Hispanic music | holiday music | musical theater,12,,,
Q6032965,cde51164-4024-4969-8da7-f3459ee081f2,murga uruguaya,Q1452181,murga,2,0,0,ring,,Uruguay,,,,single,Hispanic American music | murga,1,,,
Q108951349,8838aca6-2131-4631-b8e5-2b998e186f89,music of the Llanos,Q18345375,Latin music,1,0,0,ring,,,THE ANDES & THE PACIFIC > COLOMBIA & VENEZUELA,,,attach,music of South America,1,,,
Q6950428,d7987fd0-82d3-4800-b4a7-da11e77f6b2c,música criolla,Q18345375,Latin music,1,5,5,ring,,Peru,THE ANDES & THE PACIFIC > THE ANDES,,,single,music of Peru,7,,,
Q5445668,429f3121-3a1f-462e-aa8d-3ac0f9b7691f,festejo,Q6950428,música criolla,2,0,0,ring,1900,Peru,,,,single,Afro-Peruvian music | música criolla,4,,,
Q3217069,6abada7c-9459-4d50-ba02-586844be4d28,landó,Q6950428,música criolla,2,0,0,ring,,,,,,single,Afro-Peruvian music | música criolla,4,,,
Q222445,5777ae30-152d-4baa-ae31-821a352e73f8,marinera,Q6950428,música criolla,2,0,0,ring,,Peru,,,,single,música criolla,14,,,
Q2509521,3285e667-bbff-41ff-9d35-2893b931fc48,Peruvian waltz,Q6950428,música criolla,2,0,0,ring,,Peru · Viceroyalty of Peru,,,,single,música criolla,7,,,
Q3531526,29abdef9-c36c-41e6-a23b-045681e852bb,tondero,Q6950428,música criolla,2,0,0,ring,,Peru,,,,single,música criolla,5,,,
Q124080517,0416ed4c-f7a0-44d6-973a-c8ea326b46fc,música típica chilena,Q18345375,Latin music,1,0,0,ring,,,THE SOUTHERN CONE,,,single,music of Chile,0,,,
Q6050834,9683a907-3755-45a0-b671-0e7e4502f4d2,onda nueva,Q18345375,Latin music,1,0,0,ring,,Venezuela,THE ANDES & THE PACIFIC > COLOMBIA & VENEZUELA,,,single,music of Latin America | music of Venezuela,1,,,
Q16615430,6f45b405-2629-4a5f-8534-ac3b1ffa1b0c,Palo de Mayo,Q18345375,Latin music,1,0,0,ring,,Nicaragua,MEXICO & CENTRAL AMERICA > CENTRAL AMERICA,,,attach,music of the Caribbean,4,,,
Q140369829,8b8ed2e9-5eee-45de-b37c-00a7f0d099d2,pandilla,Q18345375,Latin music,1,0,0,ring,,,THE ANDES & THE PACIFIC > THE ANDES,,,single,music of Peru,0,,,
Q7134728,d95198e8-911e-4216-abc0-ce60ee83725f,Paraguayan polka,Q18345375,Latin music,1,0,0,ring,,,THE SOUTHERN CONE,,,single,music of Paraguay,6,,,
Q2715398,9605c40d-cb3a-4301-8be2-90e929357572,plena,Q18345375,Latin music,1,0,0,ring,,,"CUBA & THE CARIBBEAN > THE WIDER CARIBBEAN > PUERTO RICO, HISPANIOLA & THE COAST",,,single,music of Puerto Rico | tropical music,11,,,
Q3410882,d177ab45-b19e-46fd-b358-9504af94f859,punto guajiro,Q18345375,Latin music,1,0,0,ring,,Cuba,CUBA & THE CARIBBEAN > SON & GUARACHA,,,single,music of Cuba,13,,,
Q3419744,847595c4-61d9-4399-a68f-872e30cb76b2,rara,Q18345375,Latin music,1,0,0,ring,,Haiti,DANCE & CARNIVAL > CARNIVAL & STREET,,,single,holiday music | music of Haiti,6,,,
Q7295057,dfadfddd-0eb9-4f8c-a726-35cafeabcf6f,rasin,Q18345375,Latin music,1,0,0,ring,,Haiti,CUBA & THE CARIBBEAN > THE WIDER CARIBBEAN > HAITI,,,single,music of Haiti,6,,,
