wikidata_id,name,kind,start,country,image,sitelinks
Q713025,Gerald Finzi,person,1901,United Kingdom,,17
Q18645820,Geraldo Pino,person,1939,Nigeria,,6
Q15463707,Gerardo Ortiz,person,1998,Mexico,S4byZ9bQ.jpg,9
Q733400,Gerry and the Pacemakers,group,1959,United Kingdom,Gerry and the Pacemakers group photo 1964.JPG,28
Q156535,Gerry Mulligan,person,1946,United States,Gerry Mulligan (1980s portrait by William P. Gottlieb).jpg,35
Q2915432,Gershon Sirota,person,1874,,Gershon Sirota.jpg,9
Q176412,Gesang Martohartono,person,1917,Indonesia,Gesang Martohartono 2020 stamp of Indonesia.jpg,15
Q2740796,Getatchew Mekurya,person,1949,Ethiopia,Getatchew Mekuria.jpg,11
Q1519986,Geto Boys,group,1986,United States,,17
Q19571788,GFOTY,person,2012,United Kingdom,,4
Q5556594,Ghetts,person,2003,United Kingdom,Ghetts Cloud x.jpg,6
Q19840134,Ghost Bath,group,2012,United States,,5
Q45898094,GHOSTEMANE,person,2010,United States,GHOSTEMANE 2016.jpg,21
Q323463,Ghostface Killah,person,1992,United States,Ghostface Killah in 2010 (cropped).jpg,31
Q3595190,Ghulam Ali,person,1960,Dominion of India,Gulam ali copy.jpg,16
Q456751,Giacinto Scelsi,person,1905,Italy,Giacinto Scelsi.jpg,19
Q312686,Giacomo Carissimi,person,1640,Papal States,,32
Q7311,Giacomo Puccini,person,1876,Grand Duchy of Tuscany,GiacomoPuccini.jpg,147
Q10289428,Gian & Giovani,group,1988,Brazil,Gian e Giovani.jpg,1
Q1522573,Gianni Celeste,person,1964,Italy,,5
Q311748,Gigi D'Agostino,person,1994,Italy,GigiDag.png,34
Q585972,Gigi D'Alessio,person,1992,Italy,Gigi dAlessio.jpg,12
Q348477,Gil Evans,person,1912,Canada,Ryo-gil.jpg,30
Q378858,Gil Scott-Heron,person,1969,United States,"Gil Scott-Heron - 10-03-2009 San Francisco, California.jpg",37
Q327163,Gil Semedo,person,1991,Cape Verde,Gil Semedo Live.jpg,6
Q221479,Gilberto Gil,person,1965,Brazil,22.05.2026 - Gilberto Gil (cropped).jpg,49
Q361555,Gilberto Santa Rosa,person,1976,United States,Concierto de Gilberto Santa Rosa en Piñas.jpg,10
Q447621,Gilda,person,1990,Argentina,Gilda junto al periodista Marcelo Gopar (cropped).jpg,30
Q214964,Gilles Binchois,person,1400,Kingdom of France,Gilles Binchois.jpg,38
Q1522692,Gilles Vigneault,person,1959,Canada,Gilles Vigneault Chantauvent Natashquan 1989.jpg,13
Q442207,Gillian Welch,person,1991,United States,Gillian Welch at MerleFest-2006-04-29.jpg,21
Q10504997,Ging Nang Boyz,group,2003,Japan,,2
Q470554,Gino Paoli,person,1959,Italy,Gino Paoli cropped.jpg,27
Q9726,Gioachino Rossini,person,1810,Papal States,Composer Rossini G 1865 by Carjat.jpg,108
Q512168,Giora Feidman,person,1955,Argentina,Feidman 06.jpg,20
Q312674,Giorgio Moroder,person,1965,Italy,Giorgio Moroder - First Avenue Minneapolis - The Current (44776142702).jpg,50
Q331263,Giorgos Batis,person,1885,Greece,George Batis.JPG,7
Q343627,Giorgos Dalaras,person,1967,Cyprus,Dalaras theatro ghs 2009.jpg,28
Q1383970,Giorgos Mazonakis,person,1993,Greece,"Giorgos Mazonakis, Live at Fantasia Live Stage Summer 2014.jpg",17
Q34624,Giovanni Gabrieli,person,1557,Republic of Venice,,44
Q179277,Giovanni Pierluigi da Palestrina,person,1554,Papal States,Giovanni Pierluigi da Palestrina.jpg,116
Q40586,Gipsy Kings,group,1978,France,Gipsy Kings (ZMF 2016) jm17802.jpg,46
Q3107617,Girija Devi,person,1949,Dominion of India,Girija Devi at Bhopal (2).JPG,29
Q62140662,girl in red,person,2017,Norway,Girl In Red @ Greek Theatre 05 30 2024 (53839303268) (cropped).jpg,32
Q2608674,Girl Talk,person,2001,United States,"Girl Talk at JellyNYC's Pool Party (August 23rd, 2009) (3854417825) CROPPED.jpg",8
Q20153,Girls' Generation,group,2007,South Korea,220728 GG poleposition 266 (53595169645).jpg,67
Q1142870,Girlschool,group,1978,United Kingdom,Girlschool at Metal Magic 2015 - 19379861854.jpg,25
Q209212,Girolamo Frescobaldi,person,1583,Papal States,"Girolamo Frescobaldi (1583-1643), engraving by Claude Mellan (1619).jpg",50
Q207532,Giuseppe Torelli,person,1658,Republic of Venice,Giuseppe Torelli.png,42
Q7317,Giuseppe Verdi,person,1830,Duchy of Parma and Piacenza,Giuseppe Verdi xilografia.jpg,179
Q348652,Giya Kancheli,person,1961,Soviet Union,Gia Kancheli.jpg,64
Q100978614,Glaive,person,2005,United States,Glaiveiwillfollowyouintothedark.jpg,10
Q1529784,Glassjaw,group,1993,United States,Glassjaw hk 2010.jpg,13
Q162667,Glen Campbell,person,1936,United States,Campbell1.jpg,45
Q433661,Glenn Branca,person,1967,United States,Glenn Branca (cropped).jpg,27
Q103651,Glenn Miller,person,1923,United States,Glenn Miller Billboard.jpg,64
Q3108903,Global Communication,group,1992,United Kingdom,Global Communication.jpg,7
Q1531745,Globe Unity Orchestra,group,1966,,,4
Q3772414,Gloria,group,,,Umberto-tozzi-gloria-Finnish-vinyl.jpg,12
Q184697,Gloria Estefan,person,1977,Cuba,Gloria Estefan 2017.jpg,73
Q228918,Gloria Gaynor,person,1965,United States,Gloria Gaynor 2012 (cropped).jpg,61
Q270546,Gloria Jones,person,1960,United States,Gloria Jones 7213s (cropped).jpg,20
Q5881397,Glorior Belli,group,2002,France,,4
Q1547848,GMS,group,1995,Spain,GMS Press 2009.jpg,12
Q22908676,Gnaw Their Tongues,group,2004,Drachten,Gnaw Their Tongues @ Roadburn Festival 2017 02.jpg,5
Q1355916,Goa Gil,person,1964,United States,GOA-GIL-5.jpg,15
Q1317474,Goblin,group,1972,Italy,Goblin (band).jpg,15
Q3109658,God Is My Co-Pilot,group,1990,United States,,3
Q1533787,Godflesh,group,1988,United Kingdom,Godfleshtogether.jpg,22
Q181341,Godspeed You! Black Emperor,group,1994,Canada,Godspeed You Black Emperor! - London Nov 20003.jpg,35
Q558464,Goethes Erben,group,1989,Germany,2015-07-25 Goethes Erben (Amphi festival 2015) 021.jpg,7
Q46644,Gogol Bordello,group,1999,United States,Gogol Bordello at the Aggie Theatre.jpg,37
Q11201367,GOING STEADY,group,1996,,,1
Q728049,Golden Earring,group,1961,Netherlands,Golden Earring - TopPop 1974 7.png,30
Q652294,Golden Gate Quartet,group,1931,United States,The Golden Gate Quartet (1964).jpg,11
Q1064319,Goldfinger,group,1994,United States,Goldfinger live (cropped).jpg,18
Q606250,Goldfrapp,group,1999,United Kingdom,Goldfrapp Live 2010.jpg,32
Q507845,Goldie,person,1991,United Kingdom,Goldie 2003 crop.jpg,22
Q1139517,Gong Qiuxia,person,1918,People's Republic of China,Qiuxia gong 1947.jpg,13
Q287142,Goodie Mob,group,1991,United States,,9
Q255233,Googoosh,person,1953,Iran,"Googoosh at the Hollywood Bowl, May 2018 08.jpg",45
Q954348,Gorefest,group,1989,Netherlands,"Gorefest, Moscow.jpg",17
Q152761,Gorgoroth,group,1992,Norway,Gorgoroth 2011 in Rostock.jpg,38
Q1538284,Gorguts,group,1989,Canada,Gorguts at Inferno 2016 (25561760704).jpg,15
Q3111407,Gorō Yamaguchi,person,1933,Japan,,7
Q5587383,Gospel Gangstaz,group,1994,United States,,1
Q746955,Gotan Project,group,2000,France,Gotan Project.jpg,25
Q126953,Gov't Mule,group,1994,United States,Govt. Mule - Peaches Records.jpg,16
Q1377134,Graham Parker,person,1968,United Kingdom,Graham Parker-07182010.jpg,17
Q438124,Gram Parsons,person,1963,United States,Gram Parsons.jpg,29
Q5016968,Gramacks,group,1970,Dominica,,3
Q3115369,Gramoun Lélé,person,1948,France,,1
Q5593993,Gran Coquivacoa,group,1968,Venezuela,,2
Q13026138,Grand Ex',group,1970,Thailand,,2
Q1542920,Grand Wizzard Theodore,person,1977,United States,Grand wizzard theodore.JPG,12
Q765409,Grandmaster Flash and the Furious Five,group,1978,United States,POS17 @Kristsll-297 (35873060291).jpg,20
Q601427,Grant Green,person,1959,United States,,26
Q212533,Grateful Dead,group,1965,United States,Grateful Dead (1970).png,54
Q377387,Gravediggaz,group,1993,United States,Gravediggaz-02-mika.jpg,12
Q942165,Graveland,group,1990,Poland,Graveland (Kolovorot fest).jpg,19
Q1362139,Graveworm,group,1992,Italy,Graveworm RockTheLake2007 01.jpg,18
Q1172137,Gray Matter,group,1983,United States,,7
Q783669,Greater Than One,group,1985,United Kingdom,Greater Than One.jpg,8
Q47871,Green Day,group,1982,United States,"Green Day - Hella Mega Tour - August 10, 2021.jpg",92
Q466370,Green on Red,group,1979,United States,Green On Red at King Tuts.jpg,8
Q1127431,Green River,group,1984,United States,Green River (1980s Sub Pop promo photo).jpg,25
Q1544666,Green Velvet,person,1991,United States,Cajmere @ afterhours.jpg,12
Q12018456,Greenhorns,group,1965,Czech Republic,Greenhorns music band in Pisek in 2011 (1).JPG,2
Q5604524,Greensky Bluegrass,group,2000,United States,Greensky Bluegrass at Delfest.jpg,2
Q440898,Gregory Isaacs,person,1968,Jamaica,Gregory Isaacs SNWMF 2010 1 - on stage-2.jpg,25
Q1545680,Grendel,group,1997,Netherlands,Grendel-amphifestival2013.jpg,10
Q557003,Grigoris Bithikotsis,person,1922,Greece,,9
Q117970,Grimes,person,2007,Canada,Grimes Governors Ball 2014 03 (cropped).png,46
Q3373557,Grimethorpe Colliery Band,group,1917,United Kingdom,"Grimethorpe Band, Nationals concert 2008.jpg",4
Q117522,Groove Armada,group,1996,United Kingdom,Groove Armada at Chi Dubai.JPG,25
Q165138,Groove Coverage,group,2001,Germany,Groove Coverage.jpg,25
Q463678,Grover Washington Jr.,person,1967,United States,Grover Washington 1995.jpg,26
Q5886009,Grupo 5,group,1973,Peru,,4
Q1320656,Grupo Fundo de Quintal,group,1978,Brazil,Fundo de quintal 2015.png,8
Q5612232,Grupo Límite,group,2003,Mexico,,2
Q3118236,Grupo Montez de Durango,group,1996,United States,,2
Q1550910,Grupo Revelação,group,1991,Brazil,Revelacao 2016.png,5
Q1398215,Gryphon,group,1973,United Kingdom,,10
Q164201,Guaco,group,1968,Venezuela,,6
Q1552700,Guan Pinghu,person,1895,Republic of China,,5
Q1552705,Guana Batz,group,1983,United Kingdom,,3
Q206032,Gucci Mane,person,2001,United States,"Gucci Mane, Clout Festival 2024 03 (cropped).jpg",39
Q2382303,Gugum Gumbira Tirasondaja,person,1945,Indonesia,Gugum Gumbira.jpg,4
Q200580,Guillaume de Machaut,person,1300,France,Machaut.jpg,57
Q207717,Guillaume Dufay,person,1420,Kingdom of France,DufayBinchois.jpg,57
Q9001292,Guillermina Motta,person,1942,Spain,,5
Q919666,Guillermo Portabales,person,1928,Cuba,,7
Q607448,Guitar Slim,person,1926,United States,Guitar SlimThe Things I used to do.jpg,18
